,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
18,MX2400_MY100,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_PS_ISR_up,MX2400_MY100,XtoHY,,Up,shapes,1.0,PS_ISR,
19,MX2400_MY100,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_PS_ISR_down,MX2400_MY100,XtoHY,,Down,shapes,1.0,PS_ISR,
20,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JES_up,MX2400_MY100,XtoHY,,Up,shapes,1.0,JES,
21,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JES_down,MX2400_MY100,XtoHY,,Down,shapes,1.0,JES,
22,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JER_up,MX2400_MY100,XtoHY,,Up,shapes,1.0,JER,
23,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JER_down,MX2400_MY100,XtoHY,,Down,shapes,1.0,JER,
24,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JMS_up,MX2400_MY100,XtoHY,,Up,shapes,1.0,JMS,
25,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JMS_down,MX2400_MY100,XtoHY,,Down,shapes,1.0,JMS,
26,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JMR_up,MX2400_MY100,XtoHY,,Up,shapes,1.0,JMR,
27,MX2400_MY100,Fail,default,1,SIGNAL,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_JMR_down,MX2400_MY100,XtoHY,,Down,shapes,1.0,JMR,
