,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
320,TTToHadronic,Fail,default,2,BKG,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_pileup_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,pileup,
321,TTToHadronic,Fail,default,2,BKG,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_prefire_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,prefire,
322,TTToHadronic,Fail,default,2,BKG,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_prefire_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,prefire,
323,TTToHadronic,Fail,default,2,BKG,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_F_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,F,
324,TTToHadronic,Fail,default,2,BKG,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_F_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,F,
325,TTToHadronic,Fail,default,2,BKG,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_PS_FSR_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,PS_FSR,
326,TTToHadronic,Fail,default,2,BKG,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_PS_FSR_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,PS_FSR,
327,TTToHadronic,Fail,default,2,BKG,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_PS_ISR_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,PS_ISR,
328,TTToHadronic,Fail,default,2,BKG,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_PS_ISR_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,PS_ISR,
329,TTToHadronic,Fail,default,2,BKG,1.0,top_ptrw,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_top_ptrw_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,top_ptrw,
